Scheme,Total,Total_of_DK_percent,Infrastructure_km2,Infrastructure_of_scheme_percent,Agriculture_km2,Agriculture_of_scheme_percent,Managed_forest_km2,Managed_forest_of_scheme_percent
total,6885.9831,15.960151420059704,228.3579,3.316271572028691,1206.491,17.520969518499108,541.1699,7.859007089343567
Natura 2000,3878.6199,8.989763699079777,146.4718,3.776389637974064,862.3095,22.232379615233757,447.4382,11.536015684341741
Conservation orders,1091.7837,2.5305076874140213,40.1536,3.6777980839977733,187.3444,17.159479482978178,108.7341,9.9593078738948
Game reserve,439.6053,1.0189056596814434,9.1037,2.0708804011234623,44.6139,10.148626506550308,2.7276,0.6204656768241875
"Article3, Private",3138.7961999999998,7.275019688722151,49.5792,1.579560979460852,393.9421,12.550738400919437,0,0
"Article3, Public",1079.9861,2.503163518882255,20.3492,1.8842094356584773,65.4153,6.057050178701374,0,0
Unmanaged_Forest_Sate,484.7643,1.1235740080511158,16.638099999999998,3.4322040628816928,8.055299999999999,1.6616941470318665,0,0
Unmanaged_Forest_Private,26.784,0.06207925425127446,0.6454,2.409647550776583,0.7063,2.6370221027479093,0,0
Dune protection scheme,159.4856,0.3696515498736954,3.9058,2.4489985302748334,4.1813,2.621741398596488,4.1009,2.57132932377594
Nature national parks,21.3049,0.049379939661662826,0.9924,4.65808335171721,1.1620000000000001,5.454144351768843,0,0
Private nature foundations,247.0934,0.5727066159801322,4.8253,1.9528243166349244,45.5132,18.419431680490046,0,0
